date,open,high,low,close,volume
2024-01-02,2048.75,2072.76,2029.11,2055.24,106523
2024-01-03,2045.32,2067.64,2028.29,2056.15,83499
2024-01-04,2067.0,2076.24,2058.36,2061.64,131721
2024-01-05,2061.36,2072.18,2044.12,2048.03,129664
2024-01-08,2045.46,2066.16,2036.46,2051.73,180710
2024-01-09,2045.55,2053.96,2039.25,2053.21,244157
2024-01-10,2056.19,2063.14,2037.51,2048.79,100746
2024-01-11,2044.06,2067.24,2033.88,2055.98,132990
2024-01-12,2056.77,2065.47,2032.38,2058.03,239714
2024-01-15,2065.33,2088.76,2058.56,2064.48,87688
2024-01-16,2060.57,2071.0,2038.99,2050.41,127758
2024-01-17,2047.5,2068.55,2041.01,2068.19,211281
2024-01-18,2058.42,2079.73,2039.28,2068.77,211115
2024-01-19,2060.54,2067.86,2038.28,2056.71,136252
2024-01-22,2047.84,2059.34,2028.25,2048.07,230826
2024-01-23,2043.82,2063.09,2023.61,2045.77,211064
2024-01-24,2045.9,2059.45,2040.39,2042.44,85342
2024-01-25,2042.77,2057.94,2019.62,2029.17,149765
2024-01-26,2030.55,2037.09,2019.75,2022.55,238048
2024-01-29,2028.81,2051.24,2007.74,2015.86,231735
2024-01-30,2019.56,2042.48,2008.2,2011.97,118748
2024-01-31,2013.99,2036.2,2008.85,2022.82,150959
2024-02-01,2014.57,2026.32,1990.71,2002.22,168194
2024-02-02,2004.11,2028.54,1979.86,1992.12,164532
2024-02-05,1986.78,1992.52,1969.59,1981.11,88751
2024-02-06,1981.65,1991.44,1973.76,1982.41,247560
2024-02-07,1980.01,2000.24,1970.25,1992.09,142523
2024-02-08,1995.54,2011.26,1988.74,2007.55,134532
2024-02-09,1997.94,2014.76,1979.39,1979.98,167055
2024-02-12,1977.05,1985.54,1958.23,1968.79,239244
2024-02-13,1961.4,1968.67,1937.91,1964.9,123850
2024-02-14,1970.63,1986.74,1955.04,1962.71,95827
2024-02-15,1973.07,1990.73,1961.28,1971.57,203412
2024-02-16,1981.79,2002.39,1963.95,1967.18,107476
2024-02-19,1974.63,1979.81,1967.6,1975.7,80860
2024-02-20,1970.76,1989.6,1952.72,1960.99,201070
2024-02-21,1955.04,1974.97,1937.05,1969.25,191794
2024-02-22,1966.28,1978.64,1955.98,1961.51,245411
2024-02-23,1963.72,1981.34,1942.82,1962.18,178073
2024-02-26,1959.01,1978.46,1948.4,1949.13,189730
2024-02-27,1948.37,1972.45,1925.07,1942.61,82627
2024-02-28,1948.74,1973.08,1924.47,1965.93,130056
2024-02-29,1967.6,1978.94,1959.21,1970.2,239146
2024-03-01,1974.04,1980.98,1956.74,1980.74,103814
2024-03-04,1984.81,2004.62,1965.87,1993.09,141113
2024-03-05,1992.88,2014.08,1970.54,2010.31,166928
2024-03-06,2013.31,2031.31,1994.27,2023.75,231300
2024-03-07,2019.91,2026.79,2003.35,2004.19,159151
2024-03-08,2002.74,2019.55,1997.13,1997.97,219842
2024-03-11,1992.0,2007.44,1971.6,1979.34,185891
2024-03-12,1968.22,1983.84,1952.4,1972.45,203435
2024-03-13,1980.22,1991.68,1959.32,1968.08,154625
2024-03-14,1956.59,1980.85,1934.87,1966.87,149522
2024-03-15,1958.21,1968.21,1942.22,1960.79,192233
2024-03-18,1961.82,1981.58,1945.73,1967.66,151332
2024-03-19,1962.18,1982.34,1956.9,1959.85,87820
2024-03-20,1956.06,1975.13,1941.57,1944.86,163574
2024-03-21,1941.16,1954.84,1928.19,1944.6,187965
2024-03-22,1936.07,1953.59,1921.01,1948.92,191977
2024-03-25,1939.23,1957.08,1933.7,1947.39,239839
2024-03-26,1947.48,1965.35,1933.32,1950.79,240049
2024-03-27,1953.58,1976.69,1944.67,1946.89,97132
2024-03-28,1935.12,1953.78,1928.7,1936.7,223628
2024-03-29,1932.22,1942.86,1924.86,1937.4,186920
2024-04-01,1945.79,1966.86,1935.15,1940.77,207604
2024-04-02,1950.59,1963.84,1938.15,1958.1,137936
2024-04-03,1968.57,1982.15,1948.55,1973.91,97531
2024-04-04,1980.4,2001.93,1969.0,1998.49,146164
2024-04-05,1994.71,2001.54,1983.33,2000.63,241603
2024-04-08,2003.12,2017.09,1992.26,2000.42,194328
2024-04-09,2007.38,2028.17,2000.55,2014.21,89784
2024-04-10,2014.41,2037.17,2002.39,2006.47,104308
2024-04-11,2011.83,2018.85,2005.15,2014.76,92369
2024-04-12,2021.97,2028.6,2015.27,2028.42,143626
2024-04-15,2029.48,2053.42,2004.76,2041.42,143964
2024-04-16,2037.53,2053.69,2024.04,2050.92,98903
2024-04-17,2045.91,2060.29,2039.79,2042.22,99979
2024-04-18,2047.07,2063.74,2022.83,2038.16,128571
2024-04-19,2041.3,2065.56,2036.05,2064.67,87337
2024-04-22,2071.21,2096.07,2064.73,2082.09,244781
2024-04-23,2083.75,2102.67,2069.66,2090.37,179333
2024-04-24,2092.25,2102.87,2068.24,2099.07,157461
2024-04-25,2098.76,2107.52,2084.49,2092.63,179221
2024-04-26,2090.61,2115.34,2071.65,2095.07,132619
2024-04-29,2101.94,2110.19,2078.72,2104.61,241465
2024-04-30,2109.35,2122.72,2085.7,2117.76,87687
2024-05-01,2108.95,2130.16,2084.2,2091.11,181002
2024-05-02,2093.91,2115.75,2072.14,2092.58,150519
2024-05-03,2084.52,2106.81,2063.26,2106.8,249428
2024-05-06,2110.38,2134.27,2088.38,2099.73,156592
2024-05-07,2098.34,2115.46,2088.77,2106.7,185081
2024-05-08,2100.57,2119.0,2085.16,2111.29,168427
2024-05-09,2117.45,2133.67,2094.91,2110.55,102782
2024-05-10,2105.56,2122.97,2086.48,2094.25,103183
2024-05-13,2084.99,2101.79,2072.15,2085.11,233706
2024-05-14,2082.83,2103.5,2069.89,2090.8,226601
2024-05-15,2094.46,2117.99,2079.62,2089.53,158053
2024-05-16,2097.14,2108.71,2079.47,2086.49,92896
2024-05-17,2076.83,2084.87,2069.06,2079.19,110919
2024-05-20,2080.69,2095.17,2062.34,2068.0,112689
2024-05-21,2057.34,2067.91,2048.8,2050.5,100508
2024-05-22,2046.93,2059.22,2031.86,2050.75,86683
2024-05-23,2056.82,2063.45,2034.35,2061.15,90383
2024-05-24,2060.64,2080.61,2051.95,2057.95,142980
2024-05-27,2058.88,2071.26,2044.63,2064.54,86236
2024-05-28,2062.71,2085.61,2047.48,2067.77,98219
2024-05-29,2067.26,2077.11,2056.87,2064.5,83412
2024-05-30,2058.77,2070.32,2051.38,2068.25,180910
2024-05-31,2074.01,2088.97,2067.27,2078.93,179762
2024-06-03,2082.17,2089.72,2071.49,2078.11,189805
2024-06-04,2077.81,2102.54,2060.69,2070.62,97303
2024-06-05,2062.52,2070.74,2053.79,2058.62,109473
2024-06-06,2060.77,2076.26,2047.57,2075.76,99046
2024-06-07,2078.82,2101.13,2057.48,2068.73,109050
2024-06-10,2075.73,2091.86,2059.29,2068.41,210813
2024-06-11,2061.64,2075.15,2046.49,2053.44,99522
2024-06-12,2053.09,2069.72,2045.01,2056.9,170540
2024-06-13,2048.09,2055.78,2041.82,2055.64,134800
2024-06-14,2058.14,2076.77,2037.94,2061.07,160167
2024-06-17,2058.15,2081.74,2036.54,2080.16,101130
